;business_segment;activity_subsector;activity;company_code;company_name;CAGR Lucros 5 anos;CAGR Receitas 5 anos;D.Y;Dív. líquida/EBIT;Dív. líquida/EBITDA;Dív. líquida/PL;EV/EBIT;EV/EBITDA;Giro ativos;LPA;Liq. corrente;M. Bruta;M. EBIT;M. EBITDA;M. Líquida;P/Ativo;P/Ativo Circ. Liq.;P/Cap. Giro;P/EBIT;P/EBITDA;P/L;P/SR;P/VP;PEG Ratio;PL/Ativos;Passivos/Ativos;ROA;ROE;ROIC;VPA
0;Fios e Tecidos;Tecidos. Vestuário e Calçados;Consumo Cíclico;CTSA4;SANTANENSE;0.0;9.79;0.0;-7.06;-17.86;0.46;-10.46;-26.46;0.78;-1.24;0.84;10.14;-3.75;-1.48;-7.12;0.07;-0.1;-1.2;-2.38;-6.01;-1.25;0.09;0.15;0.01;0.45;0.55;-5.57;-12.34;-8.29;10.05
0;Fios e Tecidos;Tecidos. Vestuário e Calçados;Consumo Cíclico;CEDO4;CEDRO TÊXTIL;0.0;13.54;0.0;4.54;3.25;2.16;5.53;3.96;1.38;-2.1;0.83;13.78;4.03;5.62;-1.73;0.04;-0.08;-0.35;0.71;0.51;-1.65;0.03;0.34;0.01;0.12;0.87;-2.38;-20.39;13.44;10.28
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;CLSC4;CELESC;0.0;13.22;10.36;2.47;1.61;0.45;6.06;3.96;0.66;8.46;1.19;13.36;6.71;10.27;4.19;0.16;-0.24;3.39;3.66;2.39;5.86;0.25;0.66;-0.11;0.25;0.75;2.79;11.26;8.32;75.16
0;Tecidos. Vestuário e Calçados;Comércio;Consumo Cíclico;CGRA4;GRAZZIOTIN;12.62;9.46;12.19;-0.81;0.0;-0.11;4.25;0.0;0.6;5.99;2.51;54.94;16.17;0.0;17.17;0.48;-0.85;1.8;4.91;0.0;4.62;0.79;0.66;-0.12;0.72;0.28;10.28;14.33;10.25;41.84
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;EMAE4;EMAE - EMPRESA METROP.AGUAS ENERGIA;13.63;20.69;1.8;-32.3;-21.86;-0.42;88.66;59.98;0.28;2.82;5.49;30.21;2.26;3.34;19.48;0.96;-1.42;3.56;149.65;101.24;17.35;3.38;1.95;-0.3;0.49;0.51;5.51;11.23;-0.76;25.09
0;Fios e Tecidos;Tecidos. Vestuário e Calçados;Consumo Cíclico;CTSA3;SANTANENSE;0.0;9.79;0.0;-7.06;-17.86;0.46;-10.46;-26.46;0.78;-1.24;0.84;10.14;-3.75;-1.48;-7.12;0.1;-0.14;-1.72;-3.4;-8.6;-1.79;0.13;0.22;0.01;0.45;0.55;-5.57;-12.34;-8.29;10.05
0;Serviços Educacionais;Diversos;Consumo Cíclico;BAHI3;BAHEMA;0.0;0.0;0.0;-2.55;-3.65;0.92;-8.83;-12.61;0.52;-3.84;0.22;37.63;-14.35;-10.04;-27.44;0.47;-0.5;-2.34;-6.28;-8.97;-3.28;0.9;2.25;-0.03;0.21;0.77;-14.37;-68.6;-20.11;5.59
0;Máq. e Equip. Industriais;Máquinas e Equipamentos;Bens Industriais;EALT3;ELECTRO ACO ALTONA;0.0;26.85;3.3;1.91;1.51;0.58;4.64;3.66;0.93;1.92;0.94;23.54;12.74;16.13;8.88;0.35;-0.58;-14.66;2.99;2.37;4.3;0.38;0.91;0.09;0.39;0.61;8.26;21.11;16.93;9.1
0;Incorporações;Construção Civil;Consumo Cíclico;CALI3;CONSTRUTORA ADOLPHO LINDENBERG;3.49;21.88;52.68;8.04;8.0;23.86;10.24;10.19;0.41;1.34;3.58;32.09;14.44;14.5;5.2;0.13;-0.42;0.27;2.2;2.19;6.11;0.32;6.53;-0.28;0.02;0.98;2.15;106.87;9.96;1.26
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;TRPL3;ISA CTEEP;-12.14;-6.6;3.74;1.68;1.97;0.42;5.73;6.71;0.18;3.92;5.29;65.19;71.11;60.72;45.66;0.58;-0.68;4.87;4.65;5.44;7.24;3.31;1.16;-0.23;0.5;0.48;8.05;16.07;14.19;24.4
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;CPLE5;COPEL;-0.39;12.85;3.93;3.02;0.0;0.43;9.68;0.0;0.46;0.32;1.54;21.07;13.04;0.0;3.84;1.24;-1.57;16.47;20.67;0.0;70.25;2.7;2.94;-0.83;0.42;0.57;1.76;4.19;8.15;7.66
0;Madeira;Madeira e Papel;Materiais Básicos;EUCA3;EUCATEX;61.2;16.44;6.6;1.22;1.0;0.24;3.66;2.99;0.7;3.95;1.75;32.65;15.64;19.16;14.16;0.27;-0.44;1.71;2.5;2.04;2.76;0.39;0.49;0.2;0.56;0.44;9.92;17.72;13.58;22.27
0;Fios e Tecidos;Tecidos. Vestuário e Calçados;Consumo Cíclico;PTNT3;PETTENATI;12.68;11.78;3.57;1.94;0.0;0.43;6.25;0.0;1.04;0.93;1.77;16.55;9.05;0.0;5.12;0.51;-1.06;2.25;5.41;0.0;9.57;0.49;1.19;-0.26;0.43;0.49;5.31;12.47;8.92;7.49
0;Fios e Tecidos;Tecidos. Vestuário e Calçados;Consumo Cíclico;DOHL4;DOHLER;6.91;9.46;3.08;1.82;0.83;0.04;45.63;20.78;0.67;0.29;5.83;22.36;2.26;4.97;3.37;0.34;-0.72;0.78;22.37;10.19;15.04;0.51;0.46;-0.18;0.75;0.25;2.27;3.05;1.61;9.37
0;Tecidos. Vestuário e Calçados;Comércio;Consumo Cíclico;CGRA3;GRAZZIOTIN;12.62;9.46;11.42;-0.81;0.0;-0.11;4.25;0.0;0.6;5.99;2.51;54.94;16.17;0.0;17.17;0.51;-0.91;1.92;5.25;0.0;4.94;0.85;0.71;-0.13;0.72;0.28;10.28;14.33;10.25;41.84
0;Alimentos Diversos;Alimentos Processados;Consumo não Cíclico;JOPA3;JOSAPAR;0.93;11.31;3.83;5.45;4.78;1.14;7.41;6.5;0.93;3.04;2.19;21.51;5.41;6.17;1.48;0.1;-0.36;0.25;1.94;1.7;7.11;0.11;0.41;0.08;0.24;0.68;1.38;5.71;5.16;53.22
0;Bancos;Intermediários Financeiros;Financeiro e Outros;BMEB4;BANCO MERCANTIL DO BRASIL;63.55;-4.8;5.7;0.0;0.0;0.0;8.39;0.0;0.22;1.83;0.0;55.58;4.06;0.0;5.83;0.07;-0.08;0.54;7.88;0.0;5.48;0.32;0.82;-21.82;0.09;0.91;1.28;14.97;0.0;12.25
0;Materiais Diversos;Materiais Diversos;Materiais Básicos;SNSY5;SANSUY;0.0;16.09;0.0;-5.85;-52.61;0.0;-9.64;-86.6;1.78;-22.12;0.86;17.38;-2.53;-0.28;-20.78;0.05;-0.12;-0.53;-1.1;-9.86;-0.13;0.03;-0.01;0.0;-3.48;4.51;-36.9;-10.62;1.41;-208.35
0;Gás;Gás;Utilidade Pública;CGAS5;COMGAS;23.13;25.75;12.08;2.11;1.78;5.56;8.14;6.88;1.38;13.67;1.25;19.82;15.64;18.5;10.4;1.33;-2.15;17.49;6.2;5.24;9.33;0.97;16.36;-0.64;0.08;0.92;14.3;175.4;30.22;7.79
0;Material Rodoviário;Material de Transporte;Bens Industriais;RSUL4;METALURGICA RIOSULENSE;0.0;24.27;3.51;-0.19;-0.18;-0.14;1.29;1.21;1.16;10.41;1.87;36.23;24.28;25.87;16.08;1.01;-2.2;4.05;3.61;3.39;5.45;0.88;2.72;0.21;0.37;0.63;18.6;49.79;52.01;20.9
